,recall,precision,f1,f2,accuracy,fp,fn,tp,tn,total_alerts,true_positive_rate,false_positive_rate,specificity
logistic_regression,0.8676470588235294,0.18495297805642633,0.30490956072351416,0.49915397631133673,0.8655,260.0,9.0,59.0,1672.0,319.0,0.8676470588235294,0.13457556935817805,0.865424430641822
random_forest,0.6911764705882353,0.94,0.7966101694915254,0.7298136645962733,0.988,3.0,21.0,47.0,1929.0,50.0,0.6911764705882353,0.0015527950310559005,0.9984472049689441
xgboost,0.8382352941176471,0.76,0.7972027972027973,0.8213256484149856,0.9855,18.0,11.0,57.0,1914.0,75.0,0.8382352941176471,0.009316770186335404,0.9906832298136646
