model,threshold,recall,precision,f1,f2,accuracy,fp,fn,tp,tn,total_alerts,true_positive_rate,false_positive_rate,specificity
xgboost,0.01,0.9558823529411765,0.22033898305084745,0.3581267217630854,0.5731922398589065,0.8835,230,3,65,1702,295,0.9558823529411765,0.11904761904761904,0.8809523809523809
xgboost,0.03,0.9558823529411765,0.32338308457711445,0.483271375464684,0.6871035940803383,0.9305,136,3,65,1796,201,0.9558823529411765,0.07039337474120083,0.9296066252587992
xgboost,0.05,0.9264705882352942,0.3795180722891566,0.5384615384615384,0.7191780821917808,0.946,103,5,63,1829,166,0.9264705882352942,0.05331262939958592,0.9466873706004141
xgboost,0.07,0.9264705882352942,0.4144736842105263,0.5727272727272728,0.7429245283018868,0.953,89,5,63,1843,152,0.9264705882352942,0.04606625258799172,0.9539337474120083
xgboost,0.09,0.9117647058823529,0.45255474452554745,0.6048780487804878,0.7579462102689487,0.9595,75,6,62,1857,137,0.9117647058823529,0.03881987577639751,0.9611801242236024
xgboost,0.11,0.9117647058823529,0.484375,0.6326530612244898,0.775,0.964,66,6,62,1866,128,0.9117647058823529,0.034161490683229816,0.9658385093167702
xgboost,0.13,0.9117647058823529,0.5040650406504065,0.6492146596858638,0.7848101265822784,0.9665,61,6,62,1871,123,0.9117647058823529,0.03157349896480331,0.9684265010351967
xgboost,0.15,0.8970588235294118,0.5304347826086957,0.6666666666666667,0.7881136950904393,0.9695,54,7,61,1878,115,0.8970588235294118,0.027950310559006212,0.9720496894409938
xgboost,0.17,0.8970588235294118,0.5495495495495496,0.6815642458100559,0.7963446475195822,0.9715,50,7,61,1882,111,0.8970588235294118,0.025879917184265012,0.974120082815735
xgboost,0.19,0.8676470588235294,0.5462962962962963,0.6704545454545455,0.7763157894736842,0.971,49,9,59,1883,108,0.8676470588235294,0.025362318840579712,0.9746376811594203
xgboost,0.21,0.8676470588235294,0.5619047619047619,0.6820809248554913,0.7824933687002652,0.9725,46,9,59,1886,105,0.8676470588235294,0.023809523809523808,0.9761904761904762
xgboost,0.23,0.8676470588235294,0.5728155339805825,0.6900584795321637,0.7866666666666666,0.9735,44,9,59,1888,103,0.8676470588235294,0.022774327122153208,0.9772256728778468
xgboost,0.25,0.8676470588235294,0.6082474226804123,0.7151515151515151,0.7994579945799458,0.9765,38,9,59,1894,97,0.8676470588235294,0.019668737060041408,0.9803312629399586
xgboost,0.27,0.8676470588235294,0.6344086021505376,0.7329192546583851,0.8082191780821918,0.9785,34,9,59,1898,93,0.8676470588235294,0.017598343685300208,0.9824016563146998
