model,threshold,recall,precision,f1,f2,accuracy,fp,fn,tp,tn,total_alerts,true_positive_rate,false_positive_rate,specificity
random_forest,0.37,0.8088235294117647,0.9322033898305084,0.8661417322834646,0.8308157099697885,0.9915,4,13,55,1928,59,0.8088235294117647,0.002070393374741201,0.9979296066252588
random_forest,0.39,0.8088235294117647,0.9322033898305084,0.8661417322834646,0.8308157099697885,0.9915,4,13,55,1928,59,0.8088235294117647,0.002070393374741201,0.9979296066252588
random_forest,0.41,0.8088235294117647,0.9482758620689655,0.873015873015873,0.8333333333333334,0.992,3,13,55,1929,58,0.8088235294117647,0.0015527950310559005,0.9984472049689441
random_forest,0.43,0.7941176470588235,0.9473684210526315,0.864,0.8206686930091185,0.9915,3,14,54,1929,57,0.7941176470588235,0.0015527950310559005,0.9984472049689441
random_forest,0.45,0.7647058823529411,0.9454545454545454,0.8455284552845528,0.7951070336391437,0.9905,3,16,52,1929,55,0.7647058823529411,0.0015527950310559005,0.9984472049689441
random_forest,0.47,0.7352941176470589,0.9433962264150944,0.8264462809917356,0.7692307692307693,0.9895,3,18,50,1929,53,0.7352941176470589,0.0015527950310559005,0.9984472049689441
random_forest,0.49,0.7058823529411765,0.9411764705882353,0.8067226890756304,0.7430340557275542,0.9885,3,20,48,1929,51,0.7058823529411765,0.0015527950310559005,0.9984472049689441
random_forest,0.51,0.6764705882352942,0.9387755102040817,0.7863247863247864,0.7165109034267912,0.9875,3,22,46,1929,49,0.6764705882352942,0.0015527950310559005,0.9984472049689441
random_forest,0.53,0.6764705882352942,0.9387755102040817,0.7863247863247864,0.7165109034267912,0.9875,3,22,46,1929,49,0.6764705882352942,0.0015527950310559005,0.9984472049689441
random_forest,0.55,0.6617647058823529,0.9375,0.7758620689655172,0.703125,0.987,3,23,45,1929,48,0.6617647058823529,0.0015527950310559005,0.9984472049689441
random_forest,0.57,0.6617647058823529,0.9375,0.7758620689655172,0.703125,0.987,3,23,45,1929,48,0.6617647058823529,0.0015527950310559005,0.9984472049689441
random_forest,0.59,0.6176470588235294,0.9545454545454546,0.75,0.6645569620253164,0.986,2,26,42,1930,44,0.6176470588235294,0.0010351966873706005,0.9989648033126294
random_forest,0.61,0.5882352941176471,0.9523809523809523,0.7272727272727274,0.6369426751592356,0.985,2,28,40,1930,42,0.5882352941176471,0.0010351966873706005,0.9989648033126294
