model,threshold,recall,precision,f1,f2,accuracy,fp,fn,tp,tn,total_alerts,true_positive_rate,false_positive_rate,specificity
logistic_regression,0.29,0.9264705882352942,0.10517529215358931,0.1889055472263868,0.3616532721010333,0.7295,536,5,63,1396,599,0.9264705882352942,0.2774327122153209,0.722567287784679
logistic_regression,0.31,0.9264705882352942,0.11072056239015818,0.19780219780219782,0.3745541022592152,0.7445,506,5,63,1426,569,0.9264705882352942,0.2619047619047619,0.7380952380952381
logistic_regression,0.33,0.9264705882352942,0.11475409836065574,0.2042139384116694,0.38367844092570036,0.7545,486,5,63,1446,549,0.9264705882352942,0.2515527950310559,0.7484472049689441
logistic_regression,0.35,0.9117647058823529,0.12015503875968993,0.21232876712328766,0.3934010152284264,0.77,454,6,62,1478,516,0.9117647058823529,0.2349896480331263,0.7650103519668737
logistic_regression,0.37,0.9117647058823529,0.12704918032786885,0.22302158273381295,0.40789473684210525,0.784,426,6,62,1506,488,0.9117647058823529,0.2204968944099379,0.7795031055900621
logistic_regression,0.39,0.9117647058823529,0.13626373626373625,0.23709369024856594,0.4264099037138927,0.8005,393,6,62,1539,455,0.9117647058823529,0.20341614906832298,0.796583850931677
logistic_regression,0.41,0.8970588235294118,0.14186046511627906,0.24497991967871485,0.43447293447293445,0.812,369,7,61,1563,430,0.8970588235294118,0.19099378881987578,0.8090062111801242
logistic_regression,0.43,0.8970588235294118,0.15024630541871922,0.25738396624472576,0.4498525073746313,0.824,345,7,61,1587,406,0.8970588235294118,0.17857142857142858,0.8214285714285714
logistic_regression,0.45,0.8970588235294118,0.16094986807387862,0.27293064876957496,0.4685099846390169,0.8375,318,7,61,1614,379,0.8970588235294118,0.16459627329192547,0.8354037267080745
logistic_regression,0.47,0.8823529411764706,0.16483516483516483,0.27777777777777773,0.4716981132075472,0.844,304,8,60,1628,364,0.8823529411764706,0.15734989648033126,0.8426501035196687
logistic_regression,0.49,0.8676470588235294,0.18042813455657492,0.29873417721518986,0.49248747913188645,0.8615,268,9,59,1664,327,0.8676470588235294,0.13871635610766045,0.8612836438923396
logistic_regression,0.51,0.8676470588235294,0.1873015873015873,0.30809399477806787,0.5025553662691652,0.8675,256,9,59,1676,315,0.8676470588235294,0.13250517598343686,0.8674948240165632
logistic_regression,0.53,0.8529411764705882,0.19141914191419143,0.3126684636118599,0.5043478260869565,0.8725,245,10,58,1687,303,0.8529411764705882,0.12681159420289856,0.8731884057971014
logistic_regression,0.55,0.8382352941176471,0.20212765957446807,0.32571428571428573,0.5144404332129964,0.882,225,11,57,1707,282,0.8382352941176471,0.11645962732919254,0.8835403726708074
logistic_regression,0.57,0.8382352941176471,0.21509433962264152,0.34234234234234234,0.5307262569832403,0.8905,208,11,57,1724,265,0.8382352941176471,0.10766045548654245,0.8923395445134575
logistic_regression,0.59,0.8235294117647058,0.22580645161290322,0.35443037974683544,0.5384615384615384,0.898,192,12,56,1740,248,0.8235294117647058,0.09937888198757763,0.9006211180124224
logistic_regression,0.61,0.8235294117647058,0.23140495867768596,0.3612903225806452,0.5447470817120622,0.901,186,12,56,1746,242,0.8235294117647058,0.09627329192546584,0.9037267080745341
logistic_regression,0.63,0.8235294117647058,0.2445414847161572,0.3771043771043771,0.5588822355289421,0.9075,173,12,56,1759,229,0.8235294117647058,0.08954451345755693,0.910455486542443
logistic_regression,0.65,0.7941176470588235,0.25116279069767444,0.3816254416961131,0.5544147843942505,0.9125,161,14,54,1771,215,0.7941176470588235,0.08333333333333333,0.9166666666666666
logistic_regression,0.67,0.7941176470588235,0.2660098522167488,0.3985239852398524,0.5684210526315789,0.9185,149,14,54,1783,203,0.7941176470588235,0.07712215320910973,0.9228778467908902
logistic_regression,0.69,0.7794117647058824,0.2774869109947644,0.4092664092664093,0.572354211663067,0.9235,138,15,53,1794,191,0.7794117647058824,0.07142857142857142,0.9285714285714286
logistic_regression,0.71,0.7794117647058824,0.29444444444444445,0.42741935483870974,0.5862831858407079,0.929,127,15,53,1805,180,0.7794117647058824,0.06573498964803312,0.9342650103519669
logistic_regression,0.73,0.75,0.31875,0.4473684210526315,0.5902777777777778,0.937,109,17,51,1823,160,0.75,0.05641821946169772,0.9435817805383023
logistic_regression,0.75,0.7205882352941176,0.3310810810810811,0.4537037037037038,0.5833333333333334,0.941,99,19,49,1833,148,0.7205882352941176,0.05124223602484472,0.9487577639751553
logistic_regression,0.77,0.7058823529411765,0.35294117647058826,0.4705882352941177,0.5882352941176471,0.946,88,20,48,1844,136,0.7058823529411765,0.045548654244306416,0.9544513457556936
logistic_regression,0.79,0.6764705882352942,0.38016528925619836,0.48677248677248675,0.5852417302798982,0.9515,75,22,46,1857,121,0.6764705882352942,0.03881987577639751,0.9611801242236024
logistic_regression,0.81,0.6323529411764706,0.40186915887850466,0.4914285714285715,0.5672823218997362,0.9555,64,25,43,1868,107,0.6323529411764706,0.033126293995859216,0.9668737060041408
logistic_regression,0.83,0.5882352941176471,0.41237113402061853,0.48484848484848486,0.5420054200542005,0.9575,57,28,40,1875,97,0.5882352941176471,0.029503105590062112,0.9704968944099379
logistic_regression,0.85,0.5441176470588235,0.42528735632183906,0.4774193548387097,0.5153203342618384,0.9595,50,31,37,1882,87,0.5441176470588235,0.025879917184265012,0.974120082815735
logistic_regression,0.87,0.4852941176470588,0.44594594594594594,0.46478873239436624,0.476878612716763,0.962,41,35,33,1891,74,0.4852941176470588,0.021221532091097308,0.9787784679089027
logistic_regression,0.89,0.47058823529411764,0.47761194029850745,0.4740740740740741,0.471976401179941,0.9645,35,36,32,1897,67,0.47058823529411764,0.018115942028985508,0.9818840579710145
logistic_regression,0.91,0.4117647058823529,0.5283018867924528,0.46280991735537186,0.4307692307692308,0.9675,25,40,28,1907,53,0.4117647058823529,0.012939958592132506,0.9870600414078675
logistic_regression,0.93,0.3235294117647059,0.5,0.3928571428571429,0.34810126582278483,0.966,22,46,22,1910,44,0.3235294117647059,0.011387163561076604,0.9886128364389234
logistic_regression,0.95,0.2647058823529412,0.5294117647058824,0.35294117647058826,0.29411764705882354,0.967,16,50,18,1916,34,0.2647058823529412,0.008281573498964804,0.9917184265010351
logistic_regression,0.97,0.20588235294117646,0.5384615384615384,0.2978723404255319,0.2348993288590604,0.967,12,54,14,1920,26,0.20588235294117646,0.006211180124223602,0.9937888198757764
